time,open,high,low,close,volume
1758218400000,4609.36,4622.61,4602.99,4618.2,8374.371
1758222000000,4618.19,4619.11,4581.03,4588.23,11142.5844
1758225600000,4588.24,4605.65,4587.47,4604.85,6784.4029
1758229200000,4604.85,4605.0,4591.22,4594.73,3738.5183
1758232800000,4594.73,4601.98,4587.43,4590.98,6752.5495
1758236400000,4590.97,4592.29,4570.61,4587.66,7736.6064
1758240000000,4587.66,4612.17,4587.51,4609.79,7245.8975
1758243600000,4609.79,4620.72,4598.51,4606.93,9741.9324
1758247200000,4606.92,4615.0,4588.15,4589.1,6731.0115
1758250800000,4589.1,4601.59,4542.27,4549.98,23115.1375
1758254400000,4549.98,4559.15,4532.62,4557.93,16199.3415
1758258000000,4557.93,4558.39,4527.92,4540.78,10742.2574
1758261600000,4540.78,4542.31,4520.02,4523.8,11242.1227
1758265200000,4523.81,4543.45,4518.33,4539.06,10414.6495
1758268800000,4539.06,4549.0,4531.13,4534.23,8445.0228
1758272400000,4534.23,4543.2,4516.09,4522.64,9778.2833
1758276000000,4522.65,4533.1,4518.23,4527.73,7859.9163
1758279600000,4527.72,4528.52,4507.93,4513.8,9138.617
1758283200000,4513.79,4521.65,4509.0,4518.59,16323.1474
1758286800000,4518.59,4537.51,4511.0,4528.13,15597.9824
1758290400000,4528.13,4544.44,4487.0,4495.75,47056.8657
1758294000000,4495.75,4498.0,4445.64,4474.93,42024.2531
1758297600000,4474.93,4489.21,4472.15,4481.85,10192.1377
1758301200000,4481.86,4481.86,4458.02,4459.52,10398.319
1758304800000,4459.53,4462.5,4435.7,4448.83,21032.9864
1758308400000,4448.84,4465.72,4440.68,4440.68,11353.51
1758312000000,4440.68,4464.44,4438.4,4459.12,9836.4835
1758315600000,4459.12,4471.92,4450.39,4471.38,5345.559
1758319200000,4471.37,4478.21,4468.3,4468.9,3637.3728
1758322800000,4468.9,4469.99,4446.62,4468.59,8158.3418
1758326400000,4468.59,4475.68,4460.67,4475.67,5233.5008
1758330000000,4475.67,4475.91,4458.03,4466.01,5868.8227
1758333600000,4466.01,4469.18,4454.45,4465.79,4522.4137
1758337200000,4465.79,4467.49,4459.38,4465.52,2357.0844
1758340800000,4465.52,4476.56,4462.82,4474.08,3764.7013
1758344400000,4474.08,4484.81,4466.7,4478.67,5869.7628
1758348000000,4478.66,4478.67,4470.65,4473.07,3029.9498
1758351600000,4473.08,4483.22,4469.56,4483.22,3392.9629
1758355200000,4483.21,4483.21,4464.78,4465.78,4140.9982
1758358800000,4465.78,4472.18,4456.43,4465.91,5904.2096
1758362400000,4465.91,4475.72,4463.9,4463.91,3259.8428
1758366000000,4463.9,4471.29,4463.68,4469.96,3610.8867
1758369600000,4469.96,4471.0,4463.41,4465.8,3657.154
1758373200000,4465.79,4471.54,4463.41,4468.15,3602.9282
1758376800000,4468.15,4496.78,4463.74,4487.18,10480.164
1758380400000,4487.19,4507.19,4487.0,4498.2,12093.2115
1758384000000,4498.21,4508.71,4489.81,4502.57,7660.3873
1758387600000,4502.56,4502.98,4470.0,4486.09,8652.8789
1758391200000,4486.1,4487.05,4473.38,4475.22,12080.7619
1758394800000,4475.23,4485.2,4471.74,4480.18,5929.1628
1758398400000,4480.18,4487.6,4478.23,4484.69,3655.6689
1758402000000,4484.69,4501.39,4484.68,4490.48,4757.0281
1758405600000,4490.48,4494.66,4487.62,4493.74,3245.0936
1758409200000,4493.75,4493.75,4479.59,4480.42,4012.3381
1758412800000,4480.41,4490.0,4474.47,4486.94,4995.5025
1758416400000,4486.94,4488.93,4478.44,4481.26,6308.2358
1758420000000,4481.18,4488.0,4458.0,4478.57,8554.7572
1758423600000,4478.58,4479.47,4472.84,4478.26,3411.813
1758427200000,4478.26,4478.71,4469.18,4471.66,3158.0757
1758430800000,4471.67,4477.86,4466.9,4477.38,3713.803
1758434400000,4477.38,4492.24,4477.38,4484.6,6583.8705
1758438000000,4484.61,4485.58,4476.05,4477.78,3959.2888
1758441600000,4477.78,4479.57,4466.76,4469.49,4795.06
1758445200000,4469.5,4474.09,4444.34,4465.95,11062.6902
1758448800000,4465.95,4469.02,4458.27,4458.8,3877.3815
1758452400000,4458.81,4466.01,4456.2,4460.57,2787.1538
1758456000000,4460.58,4473.44,4460.32,4467.6,5211.6778
1758459600000,4467.6,4481.29,4466.1,4475.88,5684.9748
1758463200000,4475.88,4484.76,4471.56,4472.73,5703.3795
1758466800000,4472.73,4486.4,4471.99,4482.8,6638.0068
1758470400000,4482.8,4488.95,4464.59,4476.83,11361.9214
1758474000000,4476.83,4494.0,4467.1,4491.15,7791.809
1758477600000,4491.14,4497.0,4484.12,4497.0,7268.9832
1758481200000,4497.0,4498.16,4476.45,4494.4,7780.7557
1758484800000,4494.4,4494.41,4475.25,4475.26,4861.8767
1758488400000,4475.26,4477.94,4467.32,4471.52,5493.1992
