[INFO] 2026-03-29 20:52:42 | BUY at 3.8589
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.865
[INFO] 2026-03-29 20:52:42 | BUY at 3.9227
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.9466
[INFO] 2026-03-29 20:52:42 | BUY at 3.9408
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.9499
[INFO] 2026-03-29 20:52:42 | BUY at 3.94
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.9417
[INFO] 2026-03-29 20:52:42 | BUY at 3.8831
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.8978
[INFO] 2026-03-29 20:52:42 | BUY at 3.9391
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.9444
[INFO] 2026-03-29 20:52:42 | BUY at 3.96
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.9453
[INFO] 2026-03-29 20:52:42 | BUY at 4.015
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.9926
[INFO] 2026-03-29 20:52:42 | BUY at 3.9292
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.9203
[INFO] 2026-03-29 20:52:42 | BUY at 3.9203
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.9343
[INFO] 2026-03-29 20:52:42 | BUY at 3.9193
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.9371
[INFO] 2026-03-29 20:52:42 | BUY at 3.9341
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.9598
[INFO] 2026-03-29 20:52:42 | BUY at 3.851
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.8428
[INFO] 2026-03-29 20:52:42 | BUY at 3.812
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.8066
[INFO] 2026-03-29 20:52:42 | BUY at 3.8003
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.825
[INFO] 2026-03-29 20:52:42 | BUY at 3.8817
