timestamp,message
2025-10-01T19:50:48.407497+02:00,Сделка разрешена
2025-10-01T19:50:50.871884+02:00,Сделка разрешена
2025-10-01T19:50:51.437025+02:00,Сделка разрешена
2025-10-01T19:50:51.441636+02:00,Сделка разрешена
2025-10-01T19:53:42.239622+02:00,Сделка разрешена
2025-10-01T19:53:44.658796+02:00,Сделка разрешена
2025-10-01T19:53:45.245728+02:00,Сделка разрешена
2025-10-01T19:53:45.250453+02:00,Сделка разрешена
2025-10-01T19:58:25.552160+02:00,Сделка разрешена
2025-10-01T19:58:27.968618+02:00,Сделка разрешена
2025-10-01T19:58:28.527115+02:00,Сделка разрешена
2025-10-01T19:58:28.531716+02:00,Сделка разрешена
2025-10-01T20:01:52.305507+02:00,Сделка разрешена
2025-10-01T20:01:54.729232+02:00,Сделка разрешена
2025-10-01T20:01:55.305491+02:00,Сделка разрешена
2025-10-01T20:01:55.309788+02:00,Сделка разрешена
2025-10-01T20:07:08.652429+02:00,Сделка разрешена
2025-10-01T20:07:11.081756+02:00,Сделка разрешена
2025-10-01T20:07:11.655747+02:00,Сделка разрешена
2025-10-01T20:07:11.660351+02:00,Сделка разрешена
2025-10-01T20:13:46.555208+02:00,Сделка разрешена
2025-10-01T20:13:48.960873+02:00,Сделка разрешена
2025-10-01T20:13:49.516010+02:00,Сделка разрешена
2025-10-01T20:13:49.520466+02:00,Сделка разрешена
2025-10-01T20:17:23.288598+02:00,Сделка разрешена
2025-10-01T20:17:25.688283+02:00,Сделка разрешена
2025-10-01T20:17:26.252406+02:00,Сделка разрешена
2025-10-01T20:17:26.256493+02:00,Сделка разрешена
2025-10-01T20:20:49.529271+02:00,Сделка разрешена
2025-10-01T20:20:51.929057+02:00,Сделка разрешена
2025-10-01T20:20:52.494597+02:00,Сделка разрешена
2025-10-01T20:20:52.498848+02:00,Сделка разрешена
2025-10-01T20:24:29.750050+02:00,Сделка разрешена
2025-10-01T20:24:32.155396+02:00,Сделка разрешена
2025-10-01T20:24:32.873657+02:00,Сделка разрешена
2025-10-01T20:24:32.878252+02:00,Сделка разрешена
2025-10-01T20:27:52.446281+02:00,Сделка разрешена
2025-10-01T20:27:54.872837+02:00,Сделка разрешена
2025-10-01T20:27:55.436611+02:00,Сделка разрешена
2025-10-01T20:27:55.441025+02:00,Сделка разрешена
2025-10-01T20:32:25.252571+02:00,Сделка разрешена
2025-10-01T20:32:27.711512+02:00,Сделка разрешена
2025-10-01T20:32:28.300099+02:00,Сделка разрешена
2025-10-01T20:32:28.304441+02:00,Сделка разрешена
2025-10-01T20:35:18.802330+02:00,Сделка разрешена
2025-10-01T20:35:21.214329+02:00,Сделка разрешена
2025-10-01T20:35:21.795227+02:00,Сделка разрешена
2025-10-01T20:35:21.800013+02:00,Сделка разрешена
2025-10-01T20:42:41.944442+02:00,Сделка разрешена
2025-10-01T20:42:44.249839+02:00,Сделка разрешена
2025-10-01T20:42:44.865714+02:00,Сделка разрешена
2025-10-01T20:42:44.869524+02:00,Сделка разрешена
2025-10-01T20:45:57.352718+02:00,Сделка разрешена
2025-10-01T20:45:59.686244+02:00,Сделка разрешена
2025-10-01T20:46:00.282566+02:00,Сделка разрешена
2025-10-01T20:46:00.286027+02:00,Сделка разрешена
2025-10-01T20:47:28.541574+02:00,Сделка разрешена
2025-10-01T20:47:30.905111+02:00,Сделка разрешена
2025-10-01T20:47:31.553319+02:00,Сделка разрешена
2025-10-01T20:47:31.557024+02:00,Сделка разрешена
2025-10-01T20:52:48.959728+02:00,Сделка разрешена
2025-10-01T20:54:07.704194+02:00,Сделка разрешена
2025-10-01T20:55:27.393806+02:00,Сделка разрешена
2025-10-01T20:57:32.460773+02:00,Сделка разрешена
2025-10-01T20:59:30.233784+02:00,Сделка разрешена
2025-10-01T20:59:30.236527+02:00,Сделка разрешена
2025-10-01T21:30:33.042421+02:00,Сделка разрешена
2025-10-01T21:32:35.017544+02:00,Сделка разрешена
2025-10-01T21:33:40.831984+02:00,Сделка разрешена
2025-10-01T23:29:07.480499+02:00,Сделка разрешена
2025-10-01T23:29:44.942566+02:00,Сделка разрешена
